word,kannada_meaning_1,kannada_meaning_2,kannada_meaning_3,kannada_meaning_4,english_meaning_1,english_meaning_2,english_meaning_3,english_meaning_4
ಯಜಮಾನ,"ಗಂಡ, ಪತಿ, ಮದುವೆಯಾದವ, ಇನಿಯ",ಕುಟುಂಬದ ಮುಖ್ಯಸ್ಥ,"ಹಿರಿಯ
",ಮಾಲೀಕ,Husband,Head of the family,Elder,Owner
ಭಾವ,ಅಕ್ಕನ ಗಂಡ     ,ಅಭಿಪ್ರಾಯ,ಗಂಡನ ಅಣ್ಣ,ಹೆಂಡತಿಯ ಅಣ್ಣ,"Sister's Husband
","
Feeling","
Husband's elder brother",Wife's elder brother
ಮುತ್ತು,ಚುಂಬನ,ನವರತ್ನಗಳಲ್ಲಿ ಒಂದು,,,Kiss,Pearl,,
ಕಣ,ಪದಾರ್ಥದ ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮವಾದ ಅಂಶ/ಅಣು,ಧಾನ್ಯಗಳನ್ನು ಒಕ್ಕುವುದಕ್ಕಾಗಿ ಸಿದ್ಧಪಡಿಸಿದ ಸ್ಥಳ ,ರಣರಂಗ,,Particle,A place prepared for threshing grains,Battlefield,
ದಿವಾಳಿ,ದೀಪಾವಳಿ ಹಬ್ಬ,ಎಲ್ಲವನ್ನೂ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,,,Diwali Festival,Losing everything,,
ಸುಪಾರಿ,ಅಡಕೆ ,"ಅಪರಾಧ ಮಾಡಲು ವೀಳೆಯ ನೀಡುವುದು, ಒಪ್ಪಂದ",,,Areca nut,"Conspiring to commit a crime, agreement",,
ಧರಣಿ,ಭೂಮಿ ,ಮು‍‍ಷ್ಕರ,,,Earth,Protest,,
ಹಸಿ,"ಹೊಸದು, ತಾಜಾ",ಆಹಾರವನ್ನು ಬಯಸು,,,Fresh,Hunger,,
ತುರಿ,ತೆಂಗಿನಕಾಯಿ ಕೊಬ್ಬರಿ ಹೆರೆ,ಒಂದು ಬಗೆಯ ಚರ್ಮರೋಗ,,,Grated,Itch,,
ಯಂತ್ರ,"ಕೆಲಸ ಮಾಡುವ ಸಾಧನ, ಉಪಕರಣ",ತಾಯಿತಿ,,,Machine,Amulet,,
