word,sense,precision,recall,f1,support
ಮತ,sense_1,1.0,0.9479166666666666,0.9732620320855615,96
ಮತ,sense_2,0.4444444444444444,1.0,0.6153846153846153,4
ಅಡಿ,sense_1,0.90625,0.8055555555555556,0.8529411764705882,36
ಅಡಿ,sense_2,0.8970588235294118,0.953125,0.9242424242424244,64
ಮುತ್ತು,sense_1,0.9577464788732394,0.9444444444444444,0.951048951048951,72
ಮುತ್ತು,sense_2,0.8620689655172413,0.8928571428571429,0.8771929824561403,28
ಅಡಿ,sense_1,0.90625,0.8055555555555556,0.8529411764705882,36
ಅಡಿ,sense_2,0.8970588235294118,0.953125,0.9242424242424244,64
ಗುಂಡಿ,sense_1,0.9444444444444444,0.85,0.8947368421052632,80
ಗುಂಡಿ,sense_2,0.5714285714285714,0.8,0.6666666666666666,20
